선박명,IMO,제재프로그램,선종,선적국,총톤수
NEW ENERGY,9324277,RUSSIA-EO14024,LNG Carrier,Republic of Palau,
MULAN,9864837,RUSSIA-EO14024,LNG Carrier,Republic of Palau,
ETERNAL SUCCESS,9307633,SDGT,Crude Oil Tanker,Panama,
ETERNAL PEACE,9259745,SDGT,Crude Oil Tanker,Panama,
ETERNAL 8,9232448,SDGT,Crude Oil Tanker,Panama,
CONFIDENCE P,9178044,SDGT,Crude/Oil Products Tanker,Panama,
TIYARA,9231224,SDGT,Crude Oil Tanker,,
SERENE I,9197832,SDGT,Crude Oil Tanker,Panama,
NOVA,9141259,SDGT,Crude/Oil Products Tanker,Sao Tome and Principe,
RIVAL,9117818,SDGT,Chemical/Products Tanker,Panama,
FENG TAI,9248473,SDGT,Crude Oil Tanker,Panama,
IZUMO,9249324,SDGT] [IFSR,Crude Oil Tanker,Gabon,
FRUNZE,9263643,SDGT] [IFSR,Crude Oil Tanker,Cook Islands,
CRYSTAL ROSE,9292228,IRAN-EO13846,Crude Oil Tanker,Panama,
LUNA PRIME,9174220,IRAN-EO13846,Crude Oil Tanker,Panama,
CARINA,9240512,IRAN-EO13846,Crude Oil Tanker,Barbados,
ELZA,9221671,IRAN-EO13846,Crude Oil Tanker,Liberia,
SALVIA,9297319,IRAN-EO13846,Crude Oil Tanker,San Marino,
CARNATIC,9304655,IRAN-EO13846,Crude Oil Tanker,Barbados,
SATINA,9308778,IRAN-EO13846,Products Tanker,Panama,
AVENTUS I,9280873,IRAN-EO13846,Crude Oil Tanker,Panama,
DIMITRA II,9208215,IRAN-EO13846,Crude Oil Tanker,San Marino,
DAVINA,9259367,IRAN-EO13846,Crude Oil Tanker,Palau,
SPIRIT OF CASPER,9224271,IRAN-EO13846,Crude Oil Tanker,Panama,
TYCHE I,9247390,IRAN-EO13846,Crude Oil Tanker,Panama,
CROSS OCEAN,9251810,IRAN-EO13846,Crude Oil Tanker,Panama,
GOODWIN,9379703,IRAN-EO13846,Crude Oil Tanker,Cook Islands,
ANHONA,9354521,IRAN-EO13846,Oil Products Tanker,Belize,
WEN YAO,9288095,IRAN-EO13846,Crude Oil Tanker,Cook Islands,
BERG 1,9262168,IRAN-EO13846,Crude Oil Tanker,Panama,
VORAS,9203265,IRAN-EO13846,Crude Oil Tanker,Cameroon,
HORNET,9197844,IRAN-EO13846,Crude Oil Tanker,Eswatini,
SHANAYE QUEEN,9242118,IRAN-EO13846,Crude Oil Tanker,Malaysia,
CAROL,9070072,IRAN-EO13846,LPG Tanker,St. Kitts and Nevis,
OCTANS,9224295,IRAN-EO13846,Crude Oil Tanker,Sao Tome and Principe,
MARBEL,9220938,SDGT,Chemical/Oil Tanker,Cook Islands,
KUKKI,9247388,SDGT,Chemical/Oil Tanker,Barbados,
TROPHY,9220940,SDGT,Chemical/Oil Tanker,Cook Islands,
ONYX,9252400,SDGT,Products Tanker,Cook Islands,
GRATIA,9260055,SDGT,Chemical/Oil Tanker,Palau,
JUVENIS,9260067,SDGT,Chemical/Oil Tanker,Palau,
KAPOK,9315654,SDGT,Crude Oil Tanker,Panama,
TONIL,9307932,IRAN-EO13902,Crude Oil Tanker,Panama,
CERES I,9229439,IRAN-EO13902,Crude Oil Tanker,Sao Tome and Principe,
FIONA II,9262766,IRAN-EO13902,Crude Oil Tanker,Panama,
YURI,9235737,IRAN-EO13902,Crude Oil Tanker,Cook Islands,
LADY LUCY,9341512,IRAN-EO13902,Chemical/Products Tanker,Liberia,
ELVA,9196644,IRAN-EO13902,Crude Oil Tanker,Sao Tome and Principe,
JAYA,9410387,IRAN-EO13902,Crude Oil Tanker,Marshall Islands,
MASAL,9169421,IRAN-EO13902,Crude Oil Tanker,Iran,
FT ISLAND,9166675,IRAN-EO13902,Crude Oil Tanker,Honduras,
PHONIX,9198317,IRAN-EO13902,Crude Oil Tanker,Guyana,
LARA II,9321421,IRAN-EO13902,Oil Products Tanker,Panama,
RIO NAPO,9256913,IRAN-EO13902,Chemical/Oil Tanker,Cook Islands,
OLIVE,9288265,IRAN-EO13902,Crude Oil Tanker,Cook Islands,
BLACK PANTHER,9285756,IRAN-EO13902,Chemical/Products Tanker,Panama,
LIONESS,9285744,IRAN-EO13902,Chemical/Products Tanker,Panama,
BERTHA,9292163,IRAN-EO13902,Crude Oil Tanker,Cook Islands,
MIN HANG,9257137,UKRAINE-EO13662] [IRAN-EO13902] [RUSSIA-EO14024,Crude Oil Tanker,Cook Islands,
VESNA,9233349,UKRAINE-EO13662] [IRAN-EO13902] [RUSSIA-EO14024,Crude Oil Tanker,Belize,
MEROPE,9281891,UKRAINE-EO13662] [IRAN-EO13902] [RUSSIA-EO14024,Crude Oil Tanker,Panama,
VERONICA III,9326055,IRAN-EO13902,Crude Oil Tanker,Panama,
CAPTAIN KOSTICHEV,9301392,UKRAINE-EO13662] [RUSSIA-EO14024,Crude Oil Tanker,Panama,
KAPITAN GOTSKY,9372559,UKRAINE-EO13662] [RUSSIA-EO14024,Shuttle Tanker,Russia,
KIRILL LAVROV,9333682,UKRAINE-EO13662] [RUSSIA-EO14024,Crude Oil Tanker,Russia,
MIKHAIL LAZAREV,9837547,UKRAINE-EO13662] [RUSSIA-EO14024,Shuttle Tanker,Russia,
MIKHAIL ULYANOV,9333670,UKRAINE-EO13662] [RUSSIA-EO14024,Crude Oil Tanker,Russia,
NIKOLAY ZADORNOV,9901037,UKRAINE-EO13662] [RUSSIA-EO14024,Crude Oil Tanker,Panama,
OKEANSKY PROSPECT,9866380,UKRAINE-EO13662] [RUSSIA-EO14024,Crude Oil Tanker,Russia,
PATHFINDER,9577094,UKRAINE-EO13662] [RUSSIA-EO14024,Crude Oil Tanker,Barbados,
PAVEL CHERNYSH,9301380,UKRAINE-EO13662] [RUSSIA-EO14024,Crude Oil Tanker,Panama,
SIRIUS,9422445,UKRAINE-EO13662] [RUSSIA-EO14024,Crude Oil Tanker,Barbados,
SHTURMAN ALBANOV,9752084,UKRAINE-EO13662] [RUSSIA-EO14024,Crude Oil Tanker,Russia,
SHTURMAN OVTSYN,9752101,UKRAINE-EO13662] [RUSSIA-EO14024,Crude Oil Tanker,Russia,
SHTURMAN MALYGIN,9752096,UKRAINE-EO13662] [RUSSIA-EO14024,Crude Oil Tanker,Russia,
TIMOFEY GUZHENKO,9372561,UKRAINE-EO13662] [RUSSIA-EO14024,Crude Oil Tanker,Russia,
VASILY DINKOV,9372547,UKRAINE-EO13662] [RUSSIA-EO14024,Crude Oil Tanker,Russia,
VICTOR KONETSKY,9301421,UKRAINE-EO13662] [RUSSIA-EO14024,Shuttle Tanker,Panama,
VIKTOR TITOV,9301407,UKRAINE-EO13662] [RUSSIA-EO14024,Crude Oil Tanker,Panama,
ZALIV AMERIKA,9354301,UKRAINE-EO13662] [RUSSIA-EO14024,Crude Oil Tanker,Panama,
ZALIV BAIKAL,9360128,UKRAINE-EO13662] [RUSSIA-EO14024,Shuttle Tanker,Panama,
ZALIV VOSTOK,9360130,UKRAINE-EO13662] [RUSSIA-EO14024,Crude Oil Tanker,Panama,
BORAY,9198783,UKRAINE-EO13662] [RUSSIA-EO14024,Chemical/Oil Tanker,Russia,
SANAR 7,9211999,UKRAINE-EO13662] [RUSSIA-EO14024,Crude Oil Tanker,Russia,
SANAR 8,9212008,UKRAINE-EO13662] [RUSSIA-EO14024,Crude Oil Tanker,Russia,
DIGNITY,9283241,UKRAINE-EO13662] [RUSSIA-EO14024,Crude Oil Tanker,Russia,
UMBA,9196620,UKRAINE-EO13662] [RUSSIA-EO14024,Floating Storage Tanker,Russia,
BUK,9201994,UKRAINE-EO13662] [RUSSIA-EO14024,Tug,Russia,
VYAZ,9804057,UKRAINE-EO13662] [RUSSIA-EO14024,Tug,Russia,
TIS,9817779,UKRAINE-EO13662] [RUSSIA-EO14024,Tug,Russia,
KOLA,9217979,UKRAINE-EO13662] [RUSSIA-EO14024,Floating Storage Tanker,Russia,
PANDA,9284582,UKRAINE-EO13662] [IRAN-EO13846] [RUSSIA-EO14024,Crude Oil Tanker,Guyana,
IVY,9337133,UKRAINE-EO13662] [IRAN-EO13846] [RUSSIA-EO14024,Crude Oil Tanker,Vietnam,
LEOPARD,9284594,UKRAINE-EO13662] [RUSSIA-EO14024,Crude Oil Tanker,Vietnam,
OWENS,9223540,UKRAINE-EO13662] [RUSSIA-EO14024,LPG Tanker,Panama,
ALEXANDER BEGGROV,9876373,UKRAINE-EO13662] [RUSSIA-EO14024,Products Tanker,Russia,
ALEXEY BOGOLYUBOV,9876361,UKRAINE-EO13662] [RUSSIA-EO14024,Products Tanker,Russia,
ARIADNE,9397547,UKRAINE-EO13662] [RUSSIA-EO14024,Chemical/Oil Tanker,Barbados,
DIAMOND,9385142,UKRAINE-EO13662] [RUSSIA-EO14024,Chemical/Oil Tanker,Barbados,
IVAN AIVAZOVSKY,9876359,UKRAINE-EO13662] [RUSSIA-EO14024,Products Tanker,Russia,
JUPITER,9397535,UKRAINE-EO13662] [RUSSIA-EO14024,Chemical/Oil Tanker,Barbados,
NS PRIDE,9322956,UKRAINE-EO13662] [RUSSIA-EO14024,Chemical/Oil Tanker,Gabon,
VANITY,9371608,IRAN-EO13902,Crude Oil Tanker,San Marino,
NS SILVER,9309576,UKRAINE-EO13662] [RUSSIA-EO14024,Chemical/Oil Tanker,Panama,
PREMIER,9577082,UKRAINE-EO13662] [RUSSIA-EO14024,Products Tanker,Barbados,
ARIA,9397559,UKRAINE-EO13662] [RUSSIA-EO14024,Chemical/Oil Tanker,Barbados,
TANGO,9292058,UKRAINE-EO13662] [RUSSIA-EO14024,Products Tanker,Barbados,
FJORD SEAL,9513139,UKRAINE-EO13662] [RUSSIA-EO14024,Crude Oil Tanker,Panama,
TALISMAN,9292060,UKRAINE-EO13662] [RUSSIA-EO14024,Products Tanker,Barbados,
CORUM,9544281,UKRAINE-EO13662] [RUSSIA-EO14024,Products Tanker,Panama,
TOPAZ,9292034,UKRAINE-EO13662] [RUSSIA-EO14024,Products Tanker,Barbados,
SALTY WOLF,9530917,UKRAINE-EO13662] [RUSSIA-EO14024,Crude Oil Tanker,Panama,
SAKARYA,9524463,UKRAINE-EO13662] [RUSSIA-EO14024,Crude Oil Tanker,Panama,
TRUST,9382798,UKRAINE-EO13662] [RUSSIA-EO14024,Products Tanker,Barbados,
SABLE,9524451,UKRAINE-EO13662] [RUSSIA-EO14024,Crude Oil Tanker,Panama,
TRIUMPH,9344033,UKRAINE-EO13662] [RUSSIA-EO14024,Products Tanker,Barbados,
CANKIRI,9411331,UKRAINE-EO13662] [RUSSIA-EO14024,Crude Oil Tanker,Panama,
ELEGANCE,9383950,UKRAINE-EO13662] [RUSSIA-EO14024,Crude Oil Tanker,Panama,
UNIVERSAL,9384306,UKRAINE-EO13662] [RUSSIA-EO14024,Chemical/Oil Tanker,Barbados,
VENTURE,9832547,UKRAINE-EO13662] [RUSSIA-EO14024,Crude Oil Tanker,Panama,
VALOUR,9832559,UKRAINE-EO13662] [RUSSIA-EO14024,Products Tanker,Panama,
SAMSUN,9436006,UKRAINE-EO13662] [RUSSIA-EO14024,Crude Oil Tanker,Panama,
SIVAS,9419137,UKRAINE-EO13662] [RUSSIA-EO14024,Crude Oil Tanker,Panama,
ORIENT VISION,9673202,UKRAINE-EO13662] [RUSSIA-EO14024,Bulk Carrier,Panama,
DEYNA,9299903,UKRAINE-EO13662] [RUSSIA-EO14024,Crude Oil Tanker,Panama,
ORIENT HARMONY,9620633,UKRAINE-EO13662] [RUSSIA-EO14024,Bulk Carrier,Panama,
SIRIUS 1,9285847,UKRAINE-EO13662] [RUSSIA-EO14024,Crude Oil Tanker,Panama,
TURACO,9247780,UKRAINE-EO13662] [RUSSIA-EO14024,Crude Oil Tanker,Panama,
GAZPROMNEFT ZUID EAST,9537109,UKRAINE-EO13662] [RUSSIA-EO14024,Chemical/Oil Tanker,Russia,
OMSK,9418509,UKRAINE-EO13662] [RUSSIA-EO14024,Chemical/Oil Tanker,Russia,
TYMEN,9422653,UKRAINE-EO13662] [RUSSIA-EO14024,Chemical/Oil Tanker,Russia,
OLANGA,9286463,UKRAINE-EO13662] [RUSSIA-EO14024,Products Tanker,Russia,
MURMANSK,9167930,UKRAINE-EO13662] [RUSSIA-EO14024,Chemical/Oil Tanker,Russia,
DMITRY MENDELEEV,9888182,UKRAINE-EO13662] [RUSSIA-EO14024,Bunkering Tanker,Russia,
SHTURMAN KOSHELEV,9759939,UKRAINE-EO13662] [RUSSIA-EO14024,Products Tanker,Russia,
SHTURMAN SHCHERBININ,9759927,UKRAINE-EO13662] [RUSSIA-EO14024,Products Tanker,Russia,
SHTURMAN SKURATOV,9759915,UKRAINE-EO13662] [RUSSIA-EO14024,Products Tanker,Russia,
GAZPROMNEFT NORDWEST,9590137,UKRAINE-EO13662] [RUSSIA-EO14024,Chemical/Products Tanker,Russia,
CALLISTO,9299692,UKRAINE-EO13662] [RUSSIA-EO14024,Crude Oil Tanker,Barbados,
CHRISTOPHE DE MARGERIE,9737187,UKRAINE-EO13662] [RUSSIA-EO14024,LNG Carrier,Panama,
LEO,9412347,UKRAINE-EO13662] [RUSSIA-EO14024,Crude Oil Tanker,Barbados,
LIBERTY,9339325,UKRAINE-EO13662] [RUSSIA-EO14024,Crude Oil Tanker,Barbados,
NEREUS SOPHIA,9266853,UKRAINE-EO13662] [RUSSIA-EO14024,Crude Oil Tanker,Panama,
MOSKOVSKY PROSPECT,9511521,UKRAINE-EO13662] [RUSSIA-EO14024,Crude Oil Tanker,Gabon,
NURKEZ,9253325,UKRAINE-EO13662] [RUSSIA-EO14024,Crude Oil Tanker,Panama,
OLIA,9268112,UKRAINE-EO13662] [IRAN-EO13846] [RUSSIA-EO14024,Crude Oil Tanker,Unknown,
BOLERO,9412335,UKRAINE-EO13662] [RUSSIA-EO14024,Crude Oil Tanker,Barbados,
PSKOV,9630028,UKRAINE-EO13662] [RUSSIA-EO14024,LNG Carrier,Barbados,
RIGEL,9511533,UKRAINE-EO13662] [RUSSIA-EO14024,Crude Oil Tanker,Barbados,
SAGA,9318553,UKRAINE-EO13662] [RUSSIA-EO14024,Chemical/Oil Tanker,Barbados,
AMBER 6,9235713,UKRAINE-EO13662] [RUSSIA-EO14024,Crude Oil Tanker,Panama,
OLIVIA,9233741,UKRAINE-EO13662] [RUSSIA-EO14024,Crude Oil Tanker,Sierra Leone,
PYTHON,9250531,UKRAINE-EO13662] [RUSSIA-EO14024,Crude Oil Tanker,Barbados,
AQUATICA,9299769,UKRAINE-EO13662] [RUSSIA-EO14024,Crude Oil Tanker,Panama,
APUS,9280885,UKRAINE-EO13662] [RUSSIA-EO14024,Crude Oil Tanker,Panama,
AQUILA II,9281152,UKRAINE-EO13662] [RUSSIA-EO14024,Crude Oil Tanker,Panama,
SERENADE,9318541,UKRAINE-EO13662] [RUSSIA-EO14024,Chemical/Oil Tanker,Barbados,
EMILY S,9321847,UKRAINE-EO13662] [RUSSIA-EO14024,Crude Oil Tanker,Panama,
ATTICA,9436941,UKRAINE-EO13662] [RUSSIA-EO14024,Crude Oil Tanker,Gabon,
HEIDI A,9321976,UKRAINE-EO13662] [RUSSIA-EO14024,Crude Oil Tanker,Panama,
SUCCESS,9333436,UKRAINE-EO13662] [RUSSIA-EO14024,Products Tanker,Barbados,
LAUREN II,9258521,UKRAINE-EO13662] [RUSSIA-EO14024,Crude Oil Tanker,Panama,
M SOPHIA,9289477,UKRAINE-EO13662] [RUSSIA-EO14024,Crude Oil Tanker,Panama,
MINERVA M,9282479,UKRAINE-EO13662] [RUSSIA-EO14024,Crude Oil Tanker,Panama,
SAGITTA,9296822,UKRAINE-EO13662] [RUSSIA-EO14024,Crude Oil Tanker,Panama,
VELIKIY NOVGOROD,9630004,UKRAINE-EO13662] [RUSSIA-EO14024,LNG Carrier,Barbados,
TASCA,9313149,UKRAINE-EO13662] [IRAN-EO13846] [RUSSIA-EO14024,Crude Oil Tanker,Unknown,
BOREY G,9199127,UKRAINE-EO13662] [RUSSIA-EO14024,Products Tanker,Panama,
VOSTOCHNY PROSPECT,9866392,UKRAINE-EO13662] [RUSSIA-EO14024,LNG Carrier,Russia,
CARL,9288851,UKRAINE-EO13662] [RUSSIA-EO14024,Crude Oil Tanker,Barbados,
ZALIV ANIVA,9418494,UKRAINE-EO13662] [RUSSIA-EO14024,Crude Oil Tanker,Panama,
REX 1,9219056,SDGT,Crude Oil Tanker,Panama,
ZENITH,9610781,UKRAINE-EO13662] [RUSSIA-EO14024,Crude Oil Tanker,Barbados,
HYPERION,9322968,UKRAINE-EO13662] [RUSSIA-EO14024,Chemical/Oil Tanker,Barbados,
PEGASUS,9276028,UKRAINE-EO13662] [RUSSIA-EO14024,Chemical/Oil Tanker,Barbados,
CEPHEUS,9299721,UKRAINE-EO13662] [RUSSIA-EO14024,Crude Oil Tanker,Panama,
SYMPHONY,9309588,UKRAINE-EO13662] [RUSSIA-EO14024,Chemical/Oil Tanker,Barbados,
PROXIMA,9329655,UKRAINE-EO13662] [RUSSIA-EO14024,Chemical/Oil Tanker,Barbados,
CLIO,9238052,UKRAINE-EO13662] [RUSSIA-EO14024,Crude Oil Tanker,Panama,
ATLAS,9413573,UKRAINE-EO13662] [RUSSIA-EO14024,Products Tanker,Barbados,
CRIUS,9251274,UKRAINE-EO13662] [RUSSIA-EO14024,Crude Oil Tanker,Panama,
CUP,9271327,UKRAINE-EO13662] [RUSSIA-EO14024,Crude Oil Tanker,Antigua & Barbuda,
CAPELLA,9341079,UKRAINE-EO13662] [RUSSIA-EO14024,Crude Oil Tanker,Barbados,
CASSIOPEIA,9341081,UKRAINE-EO13662] [RUSSIA-EO14024,Crude Oil Tanker,Barbados,
GALAXY,9826902,UKRAINE-EO13662] [RUSSIA-EO14024,Crude Oil Tanker,Barbados,
LEGACY,9339337,UKRAINE-EO13662] [RUSSIA-EO14024,Crude Oil Tanker,Barbados,
SI HE,9378618,UKRAINE-EO13662] [RUSSIA-EO14024,Products Tanker,Panama,
FREDA,9402469,UKRAINE-EO13662] [RUSSIA-EO14024,Crude Oil Tanker,Panama,
VANGUARD,9311622,UKRAINE-EO13662] [RUSSIA-EO14024,Crude Oil Tanker,Barbados,
VLADIMIR ARSENYEV,9901025,UKRAINE-EO13662] [RUSSIA-EO14024,Crude Oil Tanker,Panama,
VOYAGER,9843560,UKRAINE-EO13662] [RUSSIA-EO14024,Crude Oil Tanker,Barbados,
YURI SENKEVICH,9301419,UKRAINE-EO13662] [RUSSIA-EO14024,Crude Oil Tanker,Panama,
SURREY QUAYS,9350654,UKRAINE-EO13662] [RUSSIA-EO14024,Crude Oil Tanker,Panama,
HENG TAI,9419448,UKRAINE-EO13662] [RUSSIA-EO14024,Crude Oil Tanker,Panama,
THALIA III,9259197,UKRAINE-EO13662] [RUSSIA-EO14024,Crude Oil Tanker,Panama,
LELIA,9258870,SDGT,Crude Oil Tanker,Barbados,
ALEKSEY CHIRIKOV,9613551,UKRAINE-EO13662] [RUSSIA-EO14024,Supply Vessel,Russia,
GENNADIY NEVELSKOY,9742120,UKRAINE-EO13662] [RUSSIA-EO14024,Supply Vessel,Russia,
SCF ENDEAVOUR,9335678,UKRAINE-EO13662] [RUSSIA-EO14024,Supply Vessel,Russia,
KRISHNA 1,9271585,UKRAINE-EO13662] [RUSSIA-EO14024,Crude Oil Tanker,Panama,
WEI FENG,9388754,UKRAINE-EO13662] [RUSSIA-EO14024,Crude Oil Tanker,Panama,
ELINE,9292486,SDGT,Crude Oil Tanker,Barbados,
CELINE,9305609,SDGT,Crude Oil Tanker,Panama,
SCF ENDURANCE,9335680,UKRAINE-EO13662] [RUSSIA-EO14024,Supply Vessel,Russia,
SCF ENTERPRISE,9335692,UKRAINE-EO13662] [RUSSIA-EO14024,Supply Vessel,Russia,
HIMALAYAN,9392822,UKRAINE-EO13662] [RUSSIA-EO14024,Crude Oil Tanker,Panama,
JOEL,9198094,SDGT,Crude Oil Tanker,Palau,
CHLOE,9173745,SDGT,Crude Oil Tanker,Guyana,
HUI HAI ATLANTIC,9312872,UKRAINE-EO13662] [RUSSIA-EO14024,Crude Oil Tanker,Panama,
AKADEMIK GUBKIN,9842190,UKRAINE-EO13662] [RUSSIA-EO14024,Crude Oil Tanker,Russia,
SCF SAKHALIN,9307724,UKRAINE-EO13662] [RUSSIA-EO14024,Supply Vessel,Russia,
HUIHAI PACIFIC,9346732,UKRAINE-EO13662] [RUSSIA-EO14024,Crude Oil Tanker,Panama,
ROMINA,9114608,SDGT,Crude Oil Tanker,Iran,
DOBRYNYA,8730077,UKRAINE-EO13662] [RUSSIA-EO14024,Tug,Russia,
STEPAN MAKAROV,9753727,UKRAINE-EO13662] [RUSSIA-EO14024,Supply Vessel,Russia,
NURSULTAN NAZARBAYEV,9842217,UKRAINE-EO13662] [RUSSIA-EO14024,Crude Oil Tanker,Russia,
LOTUS,9203784,SDGT,Crude Oil Tanker,Iran,
LI BAI,9589750,UKRAINE-EO13662] [RUSSIA-EO14024,Crude Oil Tanker,Panama,
VYACHESLAV TIKHONOV,9538115,UKRAINE-EO13662] [RUSSIA-EO14024,Research Vessel,Russia,
OKEANSKY PROSPECT,9898254,UKRAINE-EO13662] [RUSSIA-EO14024,Crude Oil Tanker,Russia,
YEVGENY PRIMAKOV,9753741,UKRAINE-EO13662] [RUSSIA-EO14024,Supply Vessel,Russia,
RN AMUR,9653068,UKRAINE-EO13662] [RUSSIA-EO14024,Tug,Russia,
LYRA,9314088,UKRAINE-EO13662] [RUSSIA-EO14024,Crude Oil Tanker,Panama,
ZALIV AMURSKIY,9354313,UKRAINE-EO13662] [RUSSIA-EO14024,Crude Oil Tanker,Panama,
RN SAKHALIN,9650016,UKRAINE-EO13662] [RUSSIA-EO14024,Products Tanker,Russia,
MAKALU,9314105,UKRAINE-EO13662] [RUSSIA-EO14024,Crude Oil Tanker,Barbados,
RN USSURI,9653070,UKRAINE-EO13662] [RUSSIA-EO14024,Tug,Russia,
SVYATOY KNYAZ VLADIMIR,9678238,UKRAINE-EO13662] [RUSSIA-EO14024,Passenger,Russia,
MERMAR,9231212,UKRAINE-EO13662] [RUSSIA-EO14024,Crude Oil Tanker,Panama,
VALENTIN PIKUL,9885879,UKRAINE-EO13662] [RUSSIA-EO14024,Crude Oil Tanker,Russia,
VLADIMIR MONOMAKH,9842176,UKRAINE-EO13662] [RUSSIA-EO14024,Crude Oil Tanker,Russia,
BARON,9080493,SDGT,Chemical/Products Tanker,Guyana,
MERU,9187227,UKRAINE-EO13662] [RUSSIA-EO14024,Crude Oil Tanker,Sierra Leone,
VLADIMIR VINOGRADOV,9842188,UKRAINE-EO13662] [RUSSIA-EO14024,Crude Oil Tanker,Russia,
YARD NO.131040 ZVEZDA-DSME,9842205,UKRAINE-EO13662] [RUSSIA-EO14024,Crew/Supply Vessel,Russia,
YARD NO.131080 ZVEZDA-DSME,9908994,UKRAINE-EO13662] [RUSSIA-EO14024,Crude Oil Tanker,Russia,
MUM,9315446,UKRAINE-EO13662] [RUSSIA-EO14024,Crude Oil Tanker,Antigua and Barbuda,
RAMONA I,9233222,SDGT,Crude Oil Tanker,Guyana,
FEDOR USHAKOV,9753739,UKRAINE-EO13662] [RUSSIA-EO14024,Supply Vessel,Russia,
VITUS BERING,9613549,UKRAINE-EO13662] [RUSSIA-EO14024,Supply Vessel,Russia,
STAR 5,9150377,SDGT,Crude Oil Tanker,Iran,
ONYX,9236640,RUSSIA-EO14024,Crude/Oil Products Tanker,Gabon,
PRAVASI,9409467,RUSSIA-EO14024,Oil Products Tanker,Gabon,
OXIS,9224805,SDGT] [RUSSIA-EO14024,Crude Oil Tanker,Cameroon,
OCEAN 28,1021570,RUSSIA-EO14024,General Cargo,Panama,
MS ENOLA,9251951,IRAN-EO13902,Crude Oil Tanker,Djibouti,
VIGOR,9262156,IRAN-EO13846,Crude Oil Tanker,Panama,
MS ANGIA,9246281,IRAN-EO13902,Crude Oil Tanker,San Marino,
MS MELENIA,9302023,IRAN-EO13902,Crude Oil Tanker,Panama,
ALISSA,9273052,UKRAINE-EO13662] [RUSSIA-EO14024,Crude Oil Tanker,Gabon,
ARJUN,9297357,UKRAINE-EO13662] [RUSSIA-EO14024,Crude Oil Tanker,Panama,
AULIS,9233765,UKRAINE-EO13662] [RUSSIA-EO14024,Crude Oil Tanker,Panama,
CANGJIE,9299680,UKRAINE-EO13662] [RUSSIA-EO14024,Crude Oil Tanker,Cook Islands,
PROGRESS V,9316701,IRAN-EO13846,Crude Oil Tanker,Barbados,
SCORPIUS,9264893,IRAN-EO13846,Crude Oil Tanker,Barbados,
ELIZA II,9418078,IRAN-EO13846,Crude Oil Tanker,Panama,
AVITAL,9246279,IRAN-EO13846,Crude Oil Tanker,Cameroon,
SHUN TAI,9242223,UKRAINE-EO13662] [RUSSIA-EO14024,Crude Oil Tanker,Liberia,
KAPAL CANTIK,9224283,UKRAINE-EO13662] [RUSSIA-EO14024,Crude Oil Tanker,Cook Islands,
MERCURY,9321706,UKRAINE-EO13662] [RUSSIA-EO14024,Crude Oil Tanker,Gabon,
MOTI,9281011,UKRAINE-EO13662] [RUSSIA-EO14024,Crude Oil Tanker,Djibouti,
NANDA DEVI,9274434,UKRAINE-EO13662] [RUSSIA-EO14024,Crude Oil Tanker,Gabon,
NEVE,9224465,UKRAINE-EO13662] [RUSSIA-EO14024,Crude Oil Tanker,Panama,
PING AN,9378632,UKRAINE-EO13662] [RUSSIA-EO14024,Crude Oil Tanker,Panama,
MISTRAL 1,9257993,UKRAINE-EO13662] [RUSSIA-EO14024,Crude Oil Tanker,San Marino,
CH BILLION,9276585,IRAN-EO13902,Crude Oil Tanker,Panama,
YATEEKA,9191553,IRAN-EO13846,Chemical/Products Tanker,Gabon,
URGANE I,9231901,IRAN-EO13902,Crude Oil Tanker,Panama,
AMAK,9244635,IRAN-EO13846,Crude Oil Tanker,Eswatini,
MENG XIN,9271406,IRAN-EO13846,Crude Oil Tanker,Panama,
PHOENIX I,9236248,IRAN-EO13846,Crude Oil Tanker,Cook Islands,
GIOIOSA,9198082,SDGT,Crude Oil Tanker,Panama,
STAR FOREST,9237632,IRAN-EO13902,Crude Oil Tanker,Hong Kong,
CASINOVA,9280366,IRAN-EO13902,Crude Oil Tanker,Barbados,
LYDIA II,9365776,IRAN-EO13902,Crude Oil Tanker,Panama,
AYDEN,9365764,IRAN-EO13902,Crude Oil Tanker,Panama,
FIONA,9365752,IRAN-EO13902,Crude Oil Tanker,Panama,
ASTERIX,9181194,IRAN-EO13846,Crude Oil Tanker,Gambia,
VIOLET 1,9154000,IRAN-EO13846,Crude/Oil Products Tanker,Panama,
CHAMTANG,9212400,IRAN-EO13846,Crude/Oil Products Tanker,Panama,
PETERPAUL,9163269,IRAN-EO13846,Chemical/Products Tanker,Panama,
LEXI,9203277,IRAN-EO13902,Crude Oil Tanker,Cameroon,
LYDYA N,9153525,IRAN-EO13902,Crude Oil Tanker,Palau,
POLARIS 1,9272694,IRAN-EO13902,Chemical/Oil Tanker,Iran,
PEACE HILL,9288019,IRAN-EO13902,Crude Oil Tanker,Hong Kong,
SEASKY,9237412,IRAN-EO13902,Crude Oil Tanker,San Marino,
NESO,9257149,IRAN-EO13902,Crude Oil Tanker,PANAMA,
SHANNON II,9237797,IRAN-EO13902,Crude Oil Tanker,Barbados,
ITAUGUA,9102277,IRAN-EO13902,Crude Oil Tanker,Comoros,
BLUE GULF,9328716,IRAN-EO13902,Crude Oil Tanker,Palau,
CORONA FUN,9276573,IRAN-EO13902,Crude Oil Tanker,Panama,
MARINA VISION,8106109,IRAN-EO13846,Tug,Indonesia,
CELEBES,8710730,IRAN-EO13846,Tug,Indonesia,
MALILI,9179921,IRAN-EO13846,Tug,Indonesia,
